datetime,symbol,open,high,low,close,volume,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span
2017-08-17 02:00:00,BINANCE:ETHUSDT,301.13,312.18,298.0,302.0,7030.71034,,,,,293.96
2017-08-18 02:00:00,BINANCE:ETHUSDT,302.0,311.79,283.94,293.96,9537.84646,,,,,276.91
2017-08-19 02:00:00,BINANCE:ETHUSDT,293.96,299.9,278.0,290.91,2146.19773,,,,,215.21
2017-08-20 02:00:00,BINANCE:ETHUSDT,290.91,300.53,282.85,299.1,2510.13871,,,,,253.0
2017-08-21 02:00:00,BINANCE:ETHUSDT,299.1,346.52,294.6,323.29,5219.44542,,,,,249.31
2017-08-22 02:00:00,BINANCE:ETHUSDT,323.29,330.41,144.21,309.8,7956.35088,,,,,257.55
2017-08-23 02:00:00,BINANCE:ETHUSDT,312.25,324.99,309.41,315.74,8665.72569,,,,,294.57
2017-08-24 02:00:00,BINANCE:ETHUSDT,315.74,328.04,314.01,323.42,6753.27192,,,,,284.0
2017-08-25 02:00:00,BINANCE:ETHUSDT,323.42,338.28,323.42,327.24,7125.96962,245.365,,,,282.0
2017-08-26 02:00:00,BINANCE:ETHUSDT,327.24,335.44,323.41,330.79,4877.68521,245.365,,,,257.0
2017-08-27 02:00:00,BINANCE:ETHUSDT,332.18,348.13,330.73,348.13,4635.43715,246.17000000000002,,,,264.0
2017-08-28 02:00:00,BINANCE:ETHUSDT,348.11,351.0,331.95,346.0,4279.1817,247.60500000000002,,,,285.93
2017-08-29 02:00:00,BINANCE:ETHUSDT,346.0,377.6,346.0,374.7,3032.13425,260.90500000000003,,,,282.0
2017-08-30 02:00:00,BINANCE:ETHUSDT,374.7,393.71,362.05,385.93,4446.59608,268.96,,,,294.42
2017-08-31 02:00:00,BINANCE:ETHUSDT,384.64,389.36,377.78,384.79,4433.61656,351.56,,,,287.9
2017-09-01 02:00:00,BINANCE:ETHUSDT,384.79,394.39,383.18,388.46,4198.68434,354.2,,,,309.74
2017-09-02 02:00:00,BINANCE:ETHUSDT,388.46,394.32,320.08,343.14,8240.32724,357.235,,,,302.44
2017-09-03 02:00:00,BINANCE:ETHUSDT,343.14,367.28,320.08,341.77,5253.62211,357.235,,,,292.22
2017-09-04 02:00:00,BINANCE:ETHUSDT,341.77,344.55,267.94,283.77,6737.81061,331.16499999999996,,,,304.36
2017-09-05 02:00:00,BINANCE:ETHUSDT,286.81,321.52,235.55,312.09,8344.41924,314.97,,,,303.95
2017-09-06 02:00:00,BINANCE:ETHUSDT,313.29,336.34,312.09,335.0,5486.30988,314.97,,,,296.5
